"filename", "language", "YAML", "Ignore", "Python", "Markdown", "pip requirements", "Docker", "Makefile", "JavaScript", "JavaScript JSX", "HTML", "CSS", "JSON", "XML", "comment", "blank", "total"
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/serializers.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/invitations/views.py", "Python", 0, 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 113
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/manage.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 30
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/requirements.txt", "pip requirements", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/admin.py", "Python", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/apps.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/managers.py", "Python", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/migrations/0001_initial.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 37
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/migrations/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/models.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 49
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/serializers.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/backend/users/views.py", "Python", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 123
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/docker-compose.yml", "YAML", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"/Users/aishasalimgereyeva/Documents/github/headstarter-project/frontend/.eslintrc.cjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 21
